Recipe Name,Portion Size (g),Final Weight (g),Ingredient Name,Ingredient Quantity (g)
Paneer Butter Masala,250,1200,Paneer,400
Paneer Butter Masala,250,1200,Tomato,500
Paneer Butter Masala,250,1200,Onion,200
Paneer Butter Masala,250,1200,Butter,80
Paneer Butter Masala,250,1200,Cashew,50
Paneer Butter Masala,250,1200,Cream,100
Paneer Butter Masala,250,1200,Salt,8
Paneer Butter Masala,250,1200,Garam Masala,5
Dal Tadka,200,900,Toor Dal,250
Dal Tadka,200,900,Onion,150
Dal Tadka,200,900,Tomato,200
Dal Tadka,200,900,Ghee,40
Dal Tadka,200,900,Cumin Seeds,5
Dal Tadka,200,900,Garlic,15
Dal Tadka,200,900,Salt,7
Veg Pulao,180,950,Basmati Rice,400
Veg Pulao,180,950,Carrot,100
Veg Pulao,180,950,Green Peas,80
Veg Pulao,180,950,Onion,100
Veg Pulao,180,950,Ghee,40
Veg Pulao,180,950,Cumin Seeds,4
Veg Pulao,180,950,Salt,6
Veg Pulao,180,950,Water,220
Chicken Curry,220,1100,Chicken,600
Chicken Curry,220,1100,Onion,250
Chicken Curry,220,1100,Tomato,200
Chicken Curry,220,1100,Ginger Garlic Paste,30
Chicken Curry,220,1100,Yogurt,80
Chicken Curry,220,1100,Oil,50
Chicken Curry,220,1100,Salt,10
Chicken Curry,220,1100,Turmeric Powder,3
